id,pharmacy_id,drug_code,batch_number,expiry_date,quantity_on_hand,minimum_stock,maximum_stock,unit_cost,inventory_status,received_date,storage_location,days_to_expiry,inventory_value_aed,stock_status
b0f2a4e1-d9c7-4007-b801-a854795b21a2,0084942a-7f9c-4342-a2ef-afdd30ce7796,A10-0262-00338-01,ENH-MAIN-00950,2028-02-09,0,1,9,1380.58,ACTIVE,2025-06-18,HIGH VALUE CABINET,599,0,OUT_OF_STOCK
2cb96b98-09b1-4f3e-bee5-413bd076c76d,0084942a-7f9c-4342-a2ef-afdd30ce7796,A17-1821-02442-01,BASE-GENE-02091,2030-07-30,0,5,36,84.76,ACTIVE,2026-03-03,SHELF A,1501,0,OUT_OF_STOCK
a49ba0d7-6243-4532-8f92-ba9006bfa022,0084942a-7f9c-4342-a2ef-afdd30ce7796,A17-5161-02094-01,ENH-MAIN-00460,2029-03-23,3,4,30,139.98,ACTIVE,2025-11-20,SHELF A,1007,419.94,LOW_STOCK
70151d38-6588-4d74-8c3e-e9a21eb7644e,0084942a-7f9c-4342-a2ef-afdd30ce7796,A18-1156-03461-01,ENH-MAIN-00316,2029-01-24,3,1,5,2565.11,ACTIVE,2026-05-05,HIGH VALUE CABINET,949,7695.33,HEALTHY
46c3b933-4fec-4238-b925-2f2b163f43b7,0084942a-7f9c-4342-a2ef-afdd30ce7796,A21-5064-03386-02,ENH-MAIN-00358,2030-09-30,4,1,7,143.14,ACTIVE,2026-01-30,FRIDGE,1563,572.56,HEALTHY
06a18fb5-32a9-41b9-93b1-f908accf89b3,0084942a-7f9c-4342-a2ef-afdd30ce7796,A23-0087-00100-01,ENH-MAIN-01180,2030-08-12,4,2,18,171.29,ACTIVE,2025-10-09,SHELF A,1514,685.16,HEALTHY
4e48f3f8-b53e-4d1b-b2f8-392d73457338,0084942a-7f9c-4342-a2ef-afdd30ce7796,A24-4146-03889-01,ENH-MAIN-00770,2029-03-13,1,2,14,155.25,ACTIVE,2025-06-19,MAIN STORE,997,155.25,LOW_STOCK
9a13d2ad-ec33-463e-915d-10199539ce30,0084942a-7f9c-4342-a2ef-afdd30ce7796,A29-1283-07741-01,ENH-MAIN-00027,2029-01-12,15,4,34,330.01,ACTIVE,2026-04-22,FRIDGE,937,4950.15,HEALTHY
87a97182-3079-40c2-9a19-0b2abf470015,0084942a-7f9c-4342-a2ef-afdd30ce7796,A29-D251-17322-01,BASE-GENE-04138,2029-04-21,1,2,16,310.61,ACTIVE,2025-08-30,FRIDGE,1036,310.61,LOW_STOCK
4e7321d7-dd10-4fce-b44e-9280cae7d033,0084942a-7f9c-4342-a2ef-afdd30ce7796,A30-5050-04278-01,ENH-MAIN-00963,2028-03-11,0,2,14,994.01,ACTIVE,2026-04-25,SHELF B,630,0,OUT_OF_STOCK
eebaa25e-4684-4a9f-a1f8-8f83405d8b5e,0084942a-7f9c-4342-a2ef-afdd30ce7796,A34-0748-00897-01,BASE-GENE-03355,2028-07-29,4,1,7,134.18,ACTIVE,2026-01-12,MAIN STORE,770,536.72,HEALTHY
193c4f62-7b07-4b1c-919b-72c2171a616b,0084942a-7f9c-4342-a2ef-afdd30ce7796,A36-0236-00285-01,ENH-MAIN-00260,2027-12-18,0,3,25,301.69,ACTIVE,2026-03-12,MAIN STORE,546,0,OUT_OF_STOCK
d0d40757-568c-4f66-b062-9e1915d69d31,0084942a-7f9c-4342-a2ef-afdd30ce7796,A36-2499-02953-01,BASE-GENE-07232,2030-12-31,4,1,7,262.97,ACTIVE,2026-03-02,CONTROLLED ROOM,1655,1051.88,HEALTHY
adf07a26-ba52-4d51-85f0-871b3b8d9c1b,0084942a-7f9c-4342-a2ef-afdd30ce7796,A36-6577-01325-02,ENH-MAIN-00910,2030-02-26,5,1,9,190.9,ACTIVE,2026-04-02,FRIDGE,1347,954.5,HEALTHY
a1595ff0-0fec-4471-8dc7-55a8cb35100e,0084942a-7f9c-4342-a2ef-afdd30ce7796,A36-8076-04472-02,BASE-GENE-06877,2030-06-15,0,3,25,20.35,ACTIVE,2026-04-03,FRIDGE,1456,0,OUT_OF_STOCK
c5b93a80-22fc-4807-ba11-7b8016eded9b,0084942a-7f9c-4342-a2ef-afdd30ce7796,A36-8790-02349-02,ENH-MAIN-00838,2027-11-17,33,11,82,64.21,ACTIVE,2026-04-20,MAIN STORE,515,2118.93,HEALTHY
c364c868-dd7c-4e24-bed2-5f3ed6c703a1,0084942a-7f9c-4342-a2ef-afdd30ce7796,A36-9922-10337-03,ENH-MAIN-00243,2031-04-05,29,9,64,81.46,ACTIVE,2025-07-09,MAIN STORE,1750,2362.34,HEALTHY
5b0d6bb9-585c-4941-9289-55c72a0bfc1f,0084942a-7f9c-4342-a2ef-afdd30ce7796,A36-B968-11221-02,ENH-MAIN-00965,2027-09-14,13,4,32,325.5,ACTIVE,2026-04-28,FRIDGE,451,4231.5,HEALTHY
aeab0df2-275d-4c4a-b700-fcb852d702c6,0084942a-7f9c-4342-a2ef-afdd30ce7796,A37-2074-00179-01,ENH-MAIN-00440,2029-04-09,3,1,5,102.16,ACTIVE,2026-01-25,MAIN STORE,1024,306.48,HEALTHY
55a03061-e334-44fd-a5c6-809b639479a7,0084942a-7f9c-4342-a2ef-afdd30ce7796,A37-2640-03203-02,ENH-MAIN-00214,2027-01-24,0,1,12,332.29,ACTIVE,2025-12-30,FRIDGE,218,0,OUT_OF_STOCK
31f0ddf3-0c5b-42e8-a177-da45134f5558,0084942a-7f9c-4342-a2ef-afdd30ce7796,A37-5402-04063-01,BASE-GENE-03414,2027-01-31,0,6,45,76.47,ACTIVE,2025-07-05,FRIDGE,225,0,OUT_OF_STOCK
c4e1a769-d4cf-4005-835b-61c2a18bde03,0084942a-7f9c-4342-a2ef-afdd30ce7796,A37-B631-13346-01,BASE-GENE-04129,2031-01-14,0,4,28,332.44,ACTIVE,2025-09-04,FRIDGE,1669,0,OUT_OF_STOCK
3ad0ab48-566c-4939-92a9-0b3166d31a42,0084942a-7f9c-4342-a2ef-afdd30ce7796,A40-1269-03188-01,ENH-MAIN-00356,2027-05-09,0,1,5,316.87,ACTIVE,2025-12-31,SHELF A,323,0,OUT_OF_STOCK
75e5513f-fdcd-4405-ba5c-610a291ad44c,0084942a-7f9c-4342-a2ef-afdd30ce7796,A49-3401-03611-01,ENH-MAIN-00958,2028-01-15,0,1,5,898.12,ACTIVE,2026-03-15,MAIN STORE,574,0,OUT_OF_STOCK
935ab697-840a-4f4c-b1ed-0377550bd885,0084942a-7f9c-4342-a2ef-afdd30ce7796,A50-2266-05920-01,BASE-GENE-05176,2030-09-16,0,3,25,86.02,ACTIVE,2026-05-23,SHELF A,1549,0,OUT_OF_STOCK
d536bcac-f556-4fc2-9b98-4870b8591058,0084942a-7f9c-4342-a2ef-afdd30ce7796,A51-1962-02352-01,BASE-GENE-03949,2030-04-04,0,3,21,267.91,ACTIVE,2026-05-08,MAIN STORE,1384,0,OUT_OF_STOCK
21701db4-898f-45c8-b210-c66a6a72e559,0084942a-7f9c-4342-a2ef-afdd30ce7796,A51-4029-04328-01,ENH-MAIN-00096,2026-12-10,0,1,12,233.78,ACTIVE,2026-02-26,MAIN STORE,173,0,OUT_OF_STOCK
09c031f2-4b56-4317-8008-d8340e981593,0084942a-7f9c-4342-a2ef-afdd30ce7796,A51-8300-01536-01,BASE-GENE-06066,2028-08-01,5,1,9,215.75,ACTIVE,2025-08-01,CONTROLLED ROOM,773,1078.75,HEALTHY
