id,pharmacy_id,drug_code,batch_number,expiry_date,quantity_on_hand,minimum_stock,unit_cost,days_to_expiry,value_at_risk_aed,tier
5ac8bceb-0b28-4b92-8495-2c4d04ea6b5e,3ac8d640-6143-48b1-847a-ec720633e254,N71-A277-00210-01,BASE-GENE-06690,2026-09-18,49,17,62.69,90,3071.81,WARNING
19022631-b32b-4659-954d-0fd846bd82e0,f1c21a7b-b096-4416-ae32-343bb5fac048,ML8-C289-14839-01,ENH-FGH-MAIN-02093,2026-09-18,26,13,27.64,90,718.64,WARNING
1d4efbfe-5503-44f5-a299-1f7a1d443125,bf2f1d66-b217-4b41-acb7-3605bd2ce28a,D86-2528-02966-01,BASE-SPEC-02534,2026-09-18,10,3,207.66,90,2076.6,WARNING
a55bfea3-f646-4f23-8433-fa505188ffac,ab160e78-8e1a-4ee1-8a0a-3ab4adba302b,FT0-E066-00173-01,SIM-B-FGHORP-FT0E06600173-HEALTHY-094,2026-09-18,199,70,0.89,90,177.11,WARNING
f9ed269c-3f22-47f9-8b39-144152cd2c6c,8e5d3a05-f0d7-4a5a-9272-3b9b73802c23,E13-7116-18198-01,SIM-B-FSCDIA-E13711618198-HEALTHY-039,2026-09-18,68,70,44.23,90,3007.64,WARNING
7b10874f-c661-4884-913f-773028b4484b,8e5d3a05-f0d7-4a5a-9272-3b9b73802c23,F91-D549-18360-01,SIM-B-FSCDIA-F91D54918360-HEALTHY-088,2026-09-18,428,72,3.74,90,1600.72,WARNING
ca87dcf8-d5db-4459-8990-0dd6e303a721,3ac8d640-6143-48b1-847a-ec720633e254,EK2-A365-10933-01,SIM-B-FSCCAR-EK2A36510933-HEALTHY-348,2026-09-18,88,24,9.43,90,829.84,WARNING
a2f71b36-1729-410d-85e4-50bdd8bde07d,3ac8d640-6143-48b1-847a-ec720633e254,FO3-E211-19930-01,SIM-B-FSCCAR-FO3E21119930-HEALTHY-127,2026-09-18,42,35,28,90,1176,WARNING
34036adf-2d05-4914-9e92-1d8df4d744fb,64b87f0b-d7de-46cc-9900-026be05d37d0,E11-1643-04615-01,SIM-B-FSCDAY-E11164304615-HEALTHY-354,2026-09-18,95,31,13.13,90,1247.35,WARNING
592a31f5-2424-4f24-9eb2-58517f70d0f5,3b42936b-7b0f-4d51-806d-8ac6eab5009c,J82-0237-00290-01,SIM-B-FSCAMB-J82023700290-HEALTHY-118,2026-09-18,81,33,1.26,90,102.06,WARNING
9d7233dd-90eb-4f72-8d67-791f49e10eca,3b42936b-7b0f-4d51-806d-8ac6eab5009c,F98-D203-17147-01,SIM-B-FSCAMB-F98D20317147-HEALTHY-291,2026-09-18,148,78,2.23,90,330.04,WARNING
b4552def-4ed8-4454-81d9-8a45723f7548,c8deb8a8-4c5d-44b5-86c8-95a61cd4731e,FL9-A490-11352-01,SIM-B-FRNRET-FL9A49011352-HEALTHY-085,2026-09-18,56,58,44.25,90,2478,WARNING
4f5bbe75-ba98-40c5-b061-796879b1c393,f1c21a7b-b096-4416-ae32-343bb5fac048,F92-2145-03527-01,SIM-B-FGHMAI-F92214503527-HEALTHY-074,2026-09-19,272,60,3.81,91,1036.32,WARNING
cda5d87e-60ff-4d9a-91b9-179ae103d917,0084942a-7f9c-4342-a2ef-afdd30ce7796,J31-4202-04576-01,SIM-B-FALCON-J31420204576-HEALTHY-175,2026-09-19,33,36,100,91,3300,WARNING
23f0a2e2-9685-437d-b75b-5cefd2076a41,bf2f1d66-b217-4b41-acb7-3605bd2ce28a,F98-4342-01642-01,SIM-B-FSCONC-F98434201642-HEALTHY-364,2026-09-20,149,27,41,92,6109,WARNING
1f7476e4-da84-4fc2-aa19-b27c85b75282,8e5d3a05-f0d7-4a5a-9272-3b9b73802c23,EV7-D250-18170-01,SIM-B-FSCDIA-EV7D25018170-HEALTHY-064,2026-09-20,411,63,2.5,92,1027.5,WARNING
e4fd6d5b-a26f-4003-9942-5687aa5cc614,b477cd79-c0e5-4dcf-9804-2be2ef47a936,J21-6230-04971-01,SIM-B-FRNRET-J21623004971-HEALTHY-069,2026-09-20,487,46,2.32,92,1129.84,WARNING
99816221-b282-48a6-85be-3fa40583bf47,ff4445cb-add6-4bca-9b1b-bcfa8c1953a9,J32-3626-03143-01,SIM-B-FRNRET-J32362603143-HEALTHY-272,2026-09-20,185,60,3.9,92,721.5,WARNING
b3828479-4f55-47aa-ada4-dbcd68c09d3a,63078148-c8f6-4537-b3f2-edcec7fd1bd4,J76-3795-02808-03,SIM-B-FRNRET-J76379502808-LOW_STOCK-037,2026-09-20,14,60,691.36,92,9679.04,WARNING
07182163-42ad-4518-99c0-3eb04dd80829,0084942a-7f9c-4342-a2ef-afdd30ce7796,J80-9866-10247-01,SIM-B-FALCON-J80986610247-HEALTHY-115,2026-09-20,44,62,76,92,3344,WARNING
8f961f54-0626-438a-895e-cb8a3c766897,e8b717ca-3dbe-481d-a83a-1ac5aeb522fe,EY2-D524-18087-01,SIM-B-FGHEME-EY2D52418087-HEALTHY-153,2026-09-21,126,61,5.24,93,660.24,WARNING
ff995997-4ba9-42a5-9127-c633081cf0a7,ab160e78-8e1a-4ee1-8a0a-3ab4adba302b,EU8-A427-11061-02,SIM-B-FGHORP-EU8A42711061-HEALTHY-263,2026-09-21,183,46,13.26,93,2426.58,WARNING
66dea001-c6a0-4bf2-a754-9ae347fb1d6e,bf2f1d66-b217-4b41-acb7-3605bd2ce28a,J83-1417-01887-01,SIM-B-FSCONC-J83141701887-HEALTHY-097,2026-09-21,86,48,5.93,93,509.98,WARNING
d0e48e8b-b825-476a-bc6e-2273ec021182,64b87f0b-d7de-46cc-9900-026be05d37d0,E08-3921-03189-01,SIM-B-FSCDAY-E08392103189-HEALTHY-101,2026-09-21,150,75,8.08,93,1212,WARNING
e00e82c0-76a1-4586-a2f9-1d83ca47d7b2,496cd94e-4f16-4a63-a599-7da8e75020a4,EU6-B286-12515-02,SIM-B-FRNRET-EU6B28612515-HEALTHY-259,2026-09-21,148,59,1.8,93,266.4,WARNING
048f8688-6caf-40cc-bfd3-d5bafe540873,b477cd79-c0e5-4dcf-9804-2be2ef47a936,E12-8826-08702-01,SIM-B-FRNRET-E12882608702-HEALTHY-182,2026-09-21,17,20,80,93,1360,WARNING
befcb121-f173-421c-8167-ad4440355c8d,496cd94e-4f16-4a63-a599-7da8e75020a4,J83-3806-04115-01,SIM-B-FRNRET-J83380604115-PRE_OOS-020,2026-09-21,28,25,80,93,2240,WARNING
2fe72601-88ef-46b4-b240-2142bc4c5c96,ff4445cb-add6-4bca-9b1b-bcfa8c1953a9,F98-C500-15793-01,SIM-B-FRNRET-F98C50015793-HEALTHY-167,2026-09-21,31,24,44.33,93,1374.23,WARNING
8c3ee679-6942-431f-a7ca-badd3e363900,ff4445cb-add6-4bca-9b1b-bcfa8c1953a9,DQ6-3173-03600-02,SIM-B-FRNRET-DQ6317303600-HEALTHY-330,2026-09-21,37,16,187,93,6919,WARNING
c9c3dc0d-854a-4190-a192-67acbcdf33f3,0084942a-7f9c-4342-a2ef-afdd30ce7796,F72-3999-07614-02,SIM-B-FALCON-F72399907614-HEALTHY-059,2026-09-21,381,54,0.5,93,190.5,WARNING
3c0e3537-9412-4330-a95a-8eab66d6c7ca,e8b717ca-3dbe-481d-a83a-1ac5aeb522fe,FT0-E066-00177-01,SIM-B-FGHEME-FT0E06600177-HEALTHY-260,2026-09-22,184,38,20.03,94,3685.52,WARNING
f3c9c7f4-6f4b-45d7-8d46-bc6e678819c2,ab160e78-8e1a-4ee1-8a0a-3ab4adba302b,J82-6327-00730-01,SIM-B-FGHORP-J82632700730-HEALTHY-260,2026-09-22,268,39,0.52,94,139.36,WARNING
3aeb0977-6400-4005-b44b-74b9a5badc57,3ac8d640-6143-48b1-847a-ec720633e254,DQ0-6232-06404-02,SIM-B-FSCCAR-DQ0623206404-HEALTHY-071,2026-09-22,41,61,11.49,94,471.09,WARNING
8a2d482d-8d08-4766-9048-e561fda85ef0,64b87f0b-d7de-46cc-9900-026be05d37d0,J83-3242-03754-02,SIM-B-FSCDAY-J83324203754-HEALTHY-050,2026-09-22,184,45,50,94,9200,WARNING
2a9deab9-15d7-44cf-a1c5-c632d5dd0db3,64b87f0b-d7de-46cc-9900-026be05d37d0,E08-1742-02205-01,SIM-B-FSCDAY-E08174202205-HEALTHY-027,2026-09-22,126,52,3,94,378,WARNING
0194afa2-860b-4615-b574-67d20b290e6f,496cd94e-4f16-4a63-a599-7da8e75020a4,E17-1631-05202-01,SIM-B-FRNRET-E17163105202-HEALTHY-195,2026-09-22,24,34,14.7,94,352.8,WARNING
c9a8b5f9-05aa-46bf-b7fc-8b46261c7d0a,c8deb8a8-4c5d-44b5-86c8-95a61cd4731e,FM2-A624-11356-01,SIM-B-FRNRET-FM2A62411356-HEALTHY-102,2026-09-22,41,20,17,94,697,WARNING
6e444328-a51d-4bc4-b7d6-dfe97e1fcaa2,63078148-c8f6-4537-b3f2-edcec7fd1bd4,FS6-E141-19781-01,SIM-B-FRNRET-FS6E14119781-HEALTHY-267,2026-09-22,60,26,23,94,1380,WARNING
69ec54b7-b921-451b-a4d6-3a9c838a92f3,f1c21a7b-b096-4416-ae32-343bb5fac048,EY2-D524-18087-01,SIM-B-FGHMAI-EY2D52418087-HEALTHY-012,2026-09-23,123,43,5.24,95,644.52,WARNING
7e99ae13-bc33-4499-812f-6ac9cdcde1ce,f1c21a7b-b096-4416-ae32-343bb5fac048,J33-2675-01464-01,SIM-B-FGHMAI-J33267501464-HEALTHY-163,2026-09-23,74,45,1.75,95,129.5,WARNING
dc641953-8540-4a0d-85f5-c5c827d99eff,0084942a-7f9c-4342-a2ef-afdd30ce7796,ML8-C289-14839-01,BASE-GENE-04773,2026-09-23,406,105,2.56,95,1039.36,WARNING
e913c403-3157-457d-a46b-6b72c436748b,8e5d3a05-f0d7-4a5a-9272-3b9b73802c23,EW0-B474-00003-01,SIM-B-FSCDIA-EW0B47400003-HEALTHY-327,2026-09-23,412,65,0.97,95,399.64,WARNING
8f670cd3-6fcc-4fb7-9297-231af6014c4c,3b42936b-7b0f-4d51-806d-8ac6eab5009c,FT0-E066-00174-01,SIM-B-FSCAMB-FT0E06600174-HEALTHY-198,2026-09-23,104,57,1.99,95,206.96,WARNING
6609137c-ab46-4c36-b8ff-fb9bbd7d87ab,f1c21a7b-b096-4416-ae32-343bb5fac048,E16-0930-01200-01,SIM-B-FGHMAI-E16093001200-HEALTHY-082,2026-09-24,401,80,0.95,96,380.95,WARNING
37d58c94-83f2-4958-b3c8-d91bc72b548b,496cd94e-4f16-4a63-a599-7da8e75020a4,DC5-A160-00520-01,BASE-COMM-05916,2026-09-24,6,5,314.07,96,1884.42,WARNING
37dc1592-e426-45ac-b77a-7ffd4fc47415,e8b717ca-3dbe-481d-a83a-1ac5aeb522fe,EV6-C796-16227-01,SIM-B-FGHEME-EV6C79616227-HEALTHY-171,2026-09-24,104,27,9.7,96,1008.8,WARNING
dde78b5d-6c7b-4bdf-977e-6b9fd5ff739f,ab160e78-8e1a-4ee1-8a0a-3ab4adba302b,J35-0654-00734-01,SIM-B-FGHORP-J35065400734-HEALTHY-193,2026-09-24,19,49,109.73,96,2084.87,WARNING
4a436502-3db3-4f6c-badd-cecdb022977a,8e5d3a05-f0d7-4a5a-9272-3b9b73802c23,J23-3588-00772-01,SIM-B-FSCDIA-J23358800772-HEALTHY-210,2026-09-24,144,55,0.27,96,38.88,WARNING
8d5956ac-e734-4b89-afa9-b141564aa05b,3b42936b-7b0f-4d51-806d-8ac6eab5009c,J30-6917-00301-01,SIM-B-FSCAMB-J30691700301-HEALTHY-028,2026-09-24,86,30,2.27,96,195.22,WARNING
0818ac4e-5e21-43fc-b8c0-84df5dd497ac,ff4445cb-add6-4bca-9b1b-bcfa8c1953a9,F91-E138-19643-01,SIM-B-FRNRET-F91E13819643-HEALTHY-208,2026-09-24,170,24,19.18,96,3260.6,WARNING
ad43b997-e95b-4890-b661-f20559fe7076,ff4445cb-add6-4bca-9b1b-bcfa8c1953a9,EC7-A324-10858-01,SIM-B-FRNRET-EC7A32410858-HEALTHY-284,2026-09-24,134,35,4,96,536,WARNING
bb7f4c08-2a26-4adf-b95b-4a0ed80ff88c,64ff710c-c989-40e3-85a9-f7dbf941e486,J41-0545-00603-01,SIM-B-EMERGE-J41054500603-HEALTHY-037,2026-09-24,21,72,65.46,96,1374.66,WARNING
cc793373-6655-4ec1-b770-095ae9f55afd,64ff710c-c989-40e3-85a9-f7dbf941e486,J23-4111-01219-02,SIM-B-EMERGE-J23411101219-HEALTHY-047,2026-09-24,223,31,1.61,96,359.03,WARNING
f88b3ba1-d649-4af7-8ff5-5c88ab71ce79,e8b717ca-3dbe-481d-a83a-1ac5aeb522fe,J23-3580-00332-03,SIM-B-FGHEME-J23358000332-HEALTHY-167,2026-09-25,384,66,0.81,97,311.04,WARNING
e27bb4d9-951e-4e85-b581-c705f2245d94,e8b717ca-3dbe-481d-a83a-1ac5aeb522fe,FM3-A608-11364-01,SIM-B-FGHEME-FM3A60811364-HEALTHY-285,2026-09-25,273,77,1.97,97,537.81,WARNING
f173180e-fb04-48e8-89a6-e78b7d2d786c,ab160e78-8e1a-4ee1-8a0a-3ab4adba302b,J23-3585-03479-01,SIM-B-FGHORP-J23358503479-HEALTHY-362,2026-09-25,171,51,0.6,97,102.6,WARNING
978043e2-b2bf-404a-972b-a75161bd6455,8e5d3a05-f0d7-4a5a-9272-3b9b73802c23,E09-D540-03930-01,SIM-B-FSCDIA-E09D54003930-HEALTHY-216,2026-09-25,278,33,1.38,97,383.64,WARNING
6014e489-5d99-4cc3-895d-d8a115d6bb1e,64b87f0b-d7de-46cc-9900-026be05d37d0,EC5-A542-03513-01,SIM-B-FSCDAY-EC5A54203513-HEALTHY-056,2026-09-25,364,78,1.01,97,367.64,WARNING
9552231d-1acf-4452-9404-033c204d7115,496cd94e-4f16-4a63-a599-7da8e75020a4,J30-7058-00730-01,SIM-B-FRNRET-J30705800730-HEALTHY-310,2026-09-25,426,47,0.48,97,204.48,WARNING
7cdf5f85-0b42-44a5-9c0b-135a749cdfe1,b477cd79-c0e5-4dcf-9804-2be2ef47a936,J82-5823-03847-01,SIM-B-FRNRET-J82582303847-HEALTHY-334,2026-09-25,54,56,7.43,97,401.22,WARNING
e12e2820-369f-452f-aad5-0db3c6272252,b477cd79-c0e5-4dcf-9804-2be2ef47a936,J80-9866-10247-01,SIM-B-FRNRET-J80986610247-LOW_STOCK-002,2026-09-25,42,53,76,97,3192,WARNING
cf9fddcf-0960-41ad-baf1-d29b8a2fd743,ff4445cb-add6-4bca-9b1b-bcfa8c1953a9,J79-9691-09944-02,SIM-B-FRNRET-J79969109944-HEALTHY-057,2026-09-25,29,43,93.44,97,2709.76,WARNING
65e33ce5-09e7-4b78-b174-52c509917a0c,64ff710c-c989-40e3-85a9-f7dbf941e486,J88-B913-13897-02,SIM-B-EMERGE-J88B91313897-LOW_STOCK-030,2026-09-25,8,72,36,97,288,WARNING
69f141f0-10f0-429a-bfe6-19053dfe0830,f1c21a7b-b096-4416-ae32-343bb5fac048,DO2-B759-13541-02,SIM-B-FGHMAI-DO2B75913541-HEALTHY-199,2026-09-25,60,49,52,97,3120,WARNING
133e715c-87be-4a6e-8632-d3e1a1145db6,f1c21a7b-b096-4416-ae32-343bb5fac048,J23-3575-04325-03,SIM-B-FGHMAI-J23357504325-HEALTHY-034,2026-09-25,283,43,0.21,97,59.43,WARNING
abba2bcb-0492-4766-a10c-8522cd47f415,e8b717ca-3dbe-481d-a83a-1ac5aeb522fe,IW2-B487-02868-01,BASE-ER-03164,2026-09-26,40,18,14.23,98,569.2,WARNING
deabc2c7-1cfd-4cee-aba8-8f150a9232e7,c8deb8a8-4c5d-44b5-86c8-95a61cd4731e,B08-0341-00774-01,BASE-COMM-04979,2026-09-26,8,4,35.73,98,285.84,WARNING
204460ca-5f88-40e2-b8bf-4e54f7deb8ce,ab160e78-8e1a-4ee1-8a0a-3ab4adba302b,J33-2294-03928-01,SIM-B-FGHORP-J33229403928-HEALTHY-027,2026-09-26,357,48,0.58,98,207.06,WARNING
ae4ca14e-9295-4268-bbe8-24a36950dcee,8e5d3a05-f0d7-4a5a-9272-3b9b73802c23,E12-8826-08702-03,SIM-B-FSCDIA-E12882608702-HEALTHY-007,2026-09-26,38,60,58,98,2204,WARNING
b327de79-4245-4e20-afc9-ebe480a7375e,bf2f1d66-b217-4b41-acb7-3605bd2ce28a,EA1-E285-20047-01,SIM-B-FSCONC-EA1E28520047-HEALTHY-186,2026-09-26,81,74,42.55,98,3446.55,WARNING
1dccdb7c-4632-4caf-97df-0cfabfde85fd,3b42936b-7b0f-4d51-806d-8ac6eab5009c,FQ8-A659-11401-01,SIM-B-FSCAMB-FQ8A65911401-HEALTHY-097,2026-09-26,126,76,2.38,98,299.88,WARNING
967edddc-a264-47fa-a3ff-4587a3bc6b8f,f1c21a7b-b096-4416-ae32-343bb5fac048,J23-3583-04165-01,SIM-B-FGHMAI-J23358304165-HEALTHY-210,2026-09-26,160,22,8.49,98,1358.4,WARNING
8fac689b-c21f-4875-8890-6f1e38ecb464,f1c21a7b-b096-4416-ae32-343bb5fac048,J92-2941-03395-01,SIM-B-FGHMAI-J92294103395-HEALTHY-295,2026-09-26,68,78,17.88,98,1215.84,WARNING
37ea093e-b23c-4ef6-b29a-75269f69addc,8e5d3a05-f0d7-4a5a-9272-3b9b73802c23,UU4-D680-02749-01,BASE-GENE-01252,2026-09-27,99,29,15.69,99,1553.31,WARNING
e02c5d02-95c8-4e79-8e94-22de891b1737,ab160e78-8e1a-4ee1-8a0a-3ab4adba302b,E58-2739-03907-01,SIM-B-FGHORP-E58273903907-HEALTHY-163,2026-09-27,469,27,2.5,99,1172.5,WARNING
bcea0488-19bf-46e1-a83b-a0ebb9337cee,bf2f1d66-b217-4b41-acb7-3605bd2ce28a,FT0-5495-05605-01,SIM-B-FSCONC-FT0549505605-HEALTHY-040,2026-09-27,192,69,14.26,99,2737.92,WARNING
fc9b7c66-0b32-4f2a-80a8-5a2772ccb548,bf2f1d66-b217-4b41-acb7-3605bd2ce28a,F05-4736-03815-01,SIM-B-FSCONC-F05473603815-HEALTHY-327,2026-09-27,136,66,13.34,99,1814.24,WARNING
