id,pharmacy_id,drug_code,batch_number,expiry_date,quantity_on_hand,minimum_stock,maximum_stock,unit_cost,inventory_status,received_date,stock_status,inventory_value_aed
37dd1800-e706-4aa5-8181-c26e12aec020,0084942a-7f9c-4342-a2ef-afdd30ce7796,A94-0368-01588-02,ENH-MAIN-00003,2026-07-26,0,3,27,311.87,ACTIVE,2025-08-12,OUT_OF_STOCK,0
009048cc-6782-4a94-9f21-899c712159d9,0084942a-7f9c-4342-a2ef-afdd30ce7796,D47-7542-07456-01,ENH-MAIN-00007,2026-07-25,0,1,5,973.65,ACTIVE,2025-09-16,OUT_OF_STOCK,0
e550642e-51fb-442a-a530-94ecbbf7ead8,0084942a-7f9c-4342-a2ef-afdd30ce7796,J05-3712-04097-01,ENH-MAIN-00011,2026-10-18,0,5,36,151.71,ACTIVE,2025-12-08,OUT_OF_STOCK,0
54896099-350b-40c8-ab9e-344cc0244980,0084942a-7f9c-4342-a2ef-afdd30ce7796,QJ9-D305-04972-01,ENH-MAIN-00017,2027-01-04,0,1,12,330.18,ACTIVE,2026-02-16,OUT_OF_STOCK,0
f8d558c4-2b4f-4b09-9985-3ee33599606c,0084942a-7f9c-4342-a2ef-afdd30ce7796,J23-3579-04319-02,ENH-MAIN-00019,2031-03-03,0,2,18,132.39,ACTIVE,2025-08-27,OUT_OF_STOCK,0
d5f37a6f-20fc-4277-b018-252399cdf153,0084942a-7f9c-4342-a2ef-afdd30ce7796,Z95-3220-01079-02,ENH-MAIN-00021,2027-05-13,0,1,4,890.38,ACTIVE,2025-12-03,OUT_OF_STOCK,0
be1f2dce-586f-4b6e-b828-af7183a93e4d,0084942a-7f9c-4342-a2ef-afdd30ce7796,G98-4631-04935-01,ENH-MAIN-00025,2026-11-17,0,1,12,664.64,ACTIVE,2026-01-08,OUT_OF_STOCK,0
09a26fdd-9580-4e41-8de3-9d9104f6ce08,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-0970-01268-01,BASE-GENE-01016,2027-03-05,0,1,9,101.96,ACTIVE,2026-03-29,OUT_OF_STOCK,0
dad5a099-8b0b-4923-86c0-09ad401a285b,0084942a-7f9c-4342-a2ef-afdd30ce7796,C95-2024-01575-01,ENH-MAIN-00030,2027-11-20,0,5,36,53.84,ACTIVE,2025-11-13,OUT_OF_STOCK,0
88aa680a-7501-4072-a799-9a72c80adaff,0084942a-7f9c-4342-a2ef-afdd30ce7796,O62-6344-06493-03,BASE-GENE-01071,2027-03-01,0,4,32,214.53,ACTIVE,2025-08-03,OUT_OF_STOCK,0
