drug_code,generic_name,brand_name,strength,source_pharmacy_name,destination_pharmacy_name,quantity,transaction_type,created_at
FT0-5671-00944-01,Capecitabine,XELODA,500 mg,FSC Ambulatory Care Pharmacy,FGH Main Inpatient Pharmacy,27,TRANSFER_IN,2026-03-19T04:41:07.01+00:00
FT0-5671-00944-01,Capecitabine,XELODA,500 mg,FSC Ambulatory Care Pharmacy,FGH Main Inpatient Pharmacy,27,TRANSFER_OUT,2026-03-19T04:41:07.01+00:00
J39-0165-01178-01,"Chlorothymol,Laureth,Sodium oleate",ALCOS-ANAL,"0.7 mg,20 mg,200 mg",FRN Retail Branch - MBZ,FGH Pediatric Pharmacy,6,TRANSFER_IN,2026-03-19T05:48:02.706+00:00
J39-0165-01178-01,"Chlorothymol,Laureth,Sodium oleate",ALCOS-ANAL,"0.7 mg,20 mg,200 mg",FRN Retail Branch - MBZ,FGH Pediatric Pharmacy,6,TRANSFER_OUT,2026-03-19T05:48:02.706+00:00
EA1-E285-20048-01,Fentanyl Citrate,XALTRIX,800 mcg,FSC Cardiology Pharmacy,FRN Retail Branch - Baniyas,45,TRANSFER_IN,2026-03-19T07:56:35.909+00:00
EA1-E285-20048-01,Fentanyl Citrate,XALTRIX,800 mcg,FSC Cardiology Pharmacy,FRN Retail Branch - Baniyas,45,TRANSFER_OUT,2026-03-19T07:56:35.909+00:00
FT0-5671-00944-01,Capecitabine,XELODA,500 mg,FSC Ambulatory Care Pharmacy,FGH Pediatric Pharmacy,2,TRANSFER_IN,2026-03-19T15:25:39.637+00:00
FT0-5671-00944-01,Capecitabine,XELODA,500 mg,FSC Ambulatory Care Pharmacy,FGH Pediatric Pharmacy,2,TRANSFER_OUT,2026-03-19T15:25:39.637+00:00
E11-1643-04615-01,"Macrogol,Potassium Chloride,Sodium Bicarbonate,Sodium chloride",ENDOFALK CLASSIC,"52.5 g,185 mg,715 mg,1.4 g",FSC Day Surgery Pharmacy,FRN Retail Branch - Abu Dhabi,26,TRANSFER_IN,2026-03-19T19:41:17.049+00:00
E11-1643-04615-01,"Macrogol,Potassium Chloride,Sodium Bicarbonate,Sodium chloride",ENDOFALK CLASSIC,"52.5 g,185 mg,715 mg,1.4 g",FSC Day Surgery Pharmacy,FRN Retail Branch - Abu Dhabi,26,TRANSFER_OUT,2026-03-19T19:41:17.049+00:00
F72-4907-04344-01,"Caffeine,Codeine Phosphate,Paracetamol (Acetaminophen)",SOLPADEINE,"30 mg,8 mg,500 mg",FRN Retail Branch - MBZ,FGH ICU Pharmacy,27,TRANSFER_OUT,2026-03-20T08:18:20.464+00:00
F72-4907-04344-01,"Caffeine,Codeine Phosphate,Paracetamol (Acetaminophen)",SOLPADEINE,"30 mg,8 mg,500 mg",FRN Retail Branch - MBZ,FGH ICU Pharmacy,27,TRANSFER_IN,2026-03-20T08:18:20.464+00:00
J81-1480-00888-02,"Calcium Dobesilate,Lidocaine",DOXIPROCT,"40 mg/g,20 mg/g",FRN Retail Branch - Baniyas,FSC Oncology Pharmacy,19,TRANSFER_IN,2026-03-21T09:58:13.678+00:00
J81-1480-00888-02,"Calcium Dobesilate,Lidocaine",DOXIPROCT,"40 mg/g,20 mg/g",FRN Retail Branch - Baniyas,FSC Oncology Pharmacy,19,TRANSFER_OUT,2026-03-21T09:58:13.678+00:00
EK2-A365-10933-01,"Sodium chloride,Potassium Chloride",POTASSIUM CHLORIDE AND SODIUM CHLORIDE VIAFLO,"9 g/1000ml,1.5 g/1000ml",FRN Retail Branch - MBZ,Emergency Pharmacy,1,TRANSFER_IN,2026-03-21T10:21:42.843+00:00
EK2-A365-10933-01,"Sodium chloride,Potassium Chloride",POTASSIUM CHLORIDE AND SODIUM CHLORIDE VIAFLO,"9 g/1000ml,1.5 g/1000ml",FRN Retail Branch - MBZ,Emergency Pharmacy,1,TRANSFER_OUT,2026-03-21T10:21:42.843+00:00
F70-1958-05728-01,"type B equiv. to strain Panama,type H1N1 equiv. to Strain A Singapore/6/86,Vaccine-Influenza vaccine (type H3N2 equiv. to strain A Shangdong/9/93",FLUARIX VACCINE,"15 mcg,15 mcg,15 mcg",FRN Retail Branch - Khalifa City,FGH ICU Pharmacy,14,TRANSFER_OUT,2026-03-21T20:17:31.218+00:00
F70-1958-05728-01,"type B equiv. to strain Panama,type H1N1 equiv. to Strain A Singapore/6/86,Vaccine-Influenza vaccine (type H3N2 equiv. to strain A Shangdong/9/93",FLUARIX VACCINE,"15 mcg,15 mcg,15 mcg",FRN Retail Branch - Khalifa City,FGH ICU Pharmacy,14,TRANSFER_IN,2026-03-21T20:17:31.218+00:00
J23-3967-04141-01,Olmesartan Medoxomil,OXAMI,40 mg,FGH Main Inpatient Pharmacy,FGH OR Pharmacy,54,TRANSFER_IN,2026-03-22T04:03:03.48+00:00
J23-3967-04141-01,Olmesartan Medoxomil,OXAMI,40 mg,FGH Main Inpatient Pharmacy,FGH OR Pharmacy,54,TRANSFER_OUT,2026-03-22T04:03:03.48+00:00
F98-A720-12250-03,"Folic Acid,Iron (Liposomal Iron Pyrophosphate)",OXYFer forte ,"400 mcg,30 mg",Emergency Pharmacy,FGH Pediatric Pharmacy,1,TRANSFER_OUT,2026-03-22T11:38:27.094+00:00
F98-A720-12250-03,"Folic Acid,Iron (Liposomal Iron Pyrophosphate)",OXYFer forte ,"400 mcg,30 mg",Emergency Pharmacy,FGH Pediatric Pharmacy,1,TRANSFER_IN,2026-03-22T11:38:27.094+00:00
J91-8858-02821-01,Hydrocortisone,ORIOCORT,10 mg,FRN Retail Branch - Abu Dhabi,FGH Main Inpatient Pharmacy,5,TRANSFER_IN,2026-03-23T20:24:56.171+00:00
J91-8858-02821-01,Hydrocortisone,ORIOCORT,10 mg,FRN Retail Branch - Abu Dhabi,FGH Main Inpatient Pharmacy,5,TRANSFER_OUT,2026-03-23T20:24:56.171+00:00
EY2-C548-02568-01,Gliclazide,Glican MR,60 mg,FRN Retail Branch - Abu Dhabi,FGH OR Pharmacy,8,TRANSFER_OUT,2026-03-24T13:31:30.177+00:00
EY2-C548-02568-01,Gliclazide,Glican MR,60 mg,FRN Retail Branch - Abu Dhabi,FGH OR Pharmacy,8,TRANSFER_IN,2026-03-24T13:31:30.177+00:00
EA1-E285-20050-01,Fentanyl Citrate,XALTRIX,1200 mcg,FRN Retail Branch - Baniyas,FGH Emergency Pharmacy,3,TRANSFER_OUT,2026-03-24T22:11:29.959+00:00
EA1-E285-20050-01,Fentanyl Citrate,XALTRIX,1200 mcg,FRN Retail Branch - Baniyas,FGH Emergency Pharmacy,3,TRANSFER_IN,2026-03-24T22:11:29.959+00:00
EC5-C450-02278-01,Febuxostat,FEBUVENT ,80 mg,FRN Retail Branch - Baniyas,FGH Pediatric Pharmacy,16,TRANSFER_OUT,2026-03-25T04:03:18.562+00:00
EC5-C450-02278-01,Febuxostat,FEBUVENT ,80 mg,FRN Retail Branch - Baniyas,FGH Pediatric Pharmacy,16,TRANSFER_IN,2026-03-25T04:03:18.562+00:00
F70-1958-05728-01,"type B equiv. to strain Panama,type H1N1 equiv. to Strain A Singapore/6/86,Vaccine-Influenza vaccine (type H3N2 equiv. to strain A Shangdong/9/93",FLUARIX VACCINE,"15 mcg,15 mcg,15 mcg",FRN Retail Branch - Khalifa City,FGH OR Pharmacy,4,TRANSFER_OUT,2026-03-26T11:38:18.011+00:00
F70-1958-05728-01,"type B equiv. to strain Panama,type H1N1 equiv. to Strain A Singapore/6/86,Vaccine-Influenza vaccine (type H3N2 equiv. to strain A Shangdong/9/93",FLUARIX VACCINE,"15 mcg,15 mcg,15 mcg",FRN Retail Branch - Khalifa City,FGH OR Pharmacy,4,TRANSFER_IN,2026-03-26T11:38:18.011+00:00
F72-4907-04344-01,"Caffeine,Codeine Phosphate,Paracetamol (Acetaminophen)",SOLPADEINE,"30 mg,8 mg,500 mg",FRN Retail Branch - MBZ,FGH Main Inpatient Pharmacy,53,TRANSFER_IN,2026-03-27T14:50:42.281+00:00
F72-4907-04344-01,"Caffeine,Codeine Phosphate,Paracetamol (Acetaminophen)",SOLPADEINE,"30 mg,8 mg,500 mg",FRN Retail Branch - MBZ,FGH Main Inpatient Pharmacy,53,TRANSFER_OUT,2026-03-27T14:50:42.281+00:00
J23-3596-03616-02,Meloxicam,NEOXICAM,7.5 mg,FRN Retail Branch - Al Ain,FGH Pediatric Pharmacy,5,TRANSFER_OUT,2026-03-27T15:23:00.787+00:00
J23-3596-03616-02,Meloxicam,NEOXICAM,7.5 mg,FRN Retail Branch - Al Ain,FGH Pediatric Pharmacy,5,TRANSFER_IN,2026-03-27T15:23:00.787+00:00
J23-3596-03616-02,Meloxicam,NEOXICAM,7.5 mg,FRN Retail Branch - Al Ain,FGH Emergency Pharmacy,21,TRANSFER_IN,2026-03-27T20:22:34.049+00:00
J23-3596-03616-02,Meloxicam,NEOXICAM,7.5 mg,FRN Retail Branch - Al Ain,FGH Emergency Pharmacy,21,TRANSFER_OUT,2026-03-27T20:22:34.049+00:00
F24-3666-02635-01,Glyceryl Trinitrate,NITRONAL AQUEOUS,1 mg/ml,FRN Retail Branch - Khalifa City,FGH Pediatric Pharmacy,2,TRANSFER_IN,2026-03-27T20:47:01.007+00:00
F24-3666-02635-01,Glyceryl Trinitrate,NITRONAL AQUEOUS,1 mg/ml,FRN Retail Branch - Khalifa City,FGH Pediatric Pharmacy,2,TRANSFER_OUT,2026-03-27T20:47:01.007+00:00
J23-3705-05102-01,Simvastatin,NORMOLIP,10 mg,FRN Retail Branch - MBZ,FGH ICU Pharmacy,36,TRANSFER_OUT,2026-03-28T07:55:07.098+00:00
J23-3705-05102-01,Simvastatin,NORMOLIP,10 mg,FRN Retail Branch - MBZ,FGH ICU Pharmacy,36,TRANSFER_IN,2026-03-28T07:55:07.098+00:00
EE4-A335-10886-01,"Turpentine Oil,Menthol,Eucalyptus Oil,Wintergreen Oil ( Methyl Salicylate)",NNS KWIK-MOVING OINTMENT-QUICK RELIEF 100G,"3 %/1w/w,5 %/1w/w,2 %/1w/w,15 %/1w/w",FRN Retail Branch - Khalifa City,FGH ICU Pharmacy,5,TRANSFER_IN,2026-03-28T08:14:31.607+00:00
