id,pharmacy_id,drug_code,batch_number,system_quantity,counted_quantity,variance,variance_type,reason,status,resolved_by,resolved_at,created_at
1741da96-b515-49b4-b3bc-c00202be20dd,496cd94e-4f16-4a63-a599-7da8e75020a4,B61-5296-06120-01,BASE-COMM-05077,0,4,4,SURPLUS,COUNTING_ERROR,REJECTED,Dr. Ahmed Al Mansoori,2026-03-28T16:00:00,2026-03-28T09:00:00
fdc95a2f-1cbf-4a95-9f28-580dcfeac216,63078148-c8f6-4537-b3f2-edcec7fd1bd4,C19-5145-05431-01,BASE-COMM-07443,17,15,-2,SHORTAGE,THEFT_SUSPECTED,UNDER_REVIEW,,,2026-03-28T09:00:00
76ab2eba-e69d-414b-9255-7aa3b727ef9a,64b87f0b-d7de-46cc-9900-026be05d37d0,B08-8672-00213-01,ENH-FSC-DAY-03130,58,57,-1,SHORTAGE,DISPENSING_ERROR,UNDER_REVIEW,,,2026-03-28T09:00:00
afd80a32-a843-4aad-8550-ade5e2131b61,496cd94e-4f16-4a63-a599-7da8e75020a4,B55-0419-02146-01,BASE-COMM-01858,67,47,-20,SHORTAGE,COUNTING_ERROR,APPROVED,Dr. Mohammed Al Shamsi,2026-03-28T16:00:00,2026-03-28T09:00:00
dc992de2-be8d-4b51-b38a-f2ae7c2d7d30,c8deb8a8-4c5d-44b5-86c8-95a61cd4731e,D47-7191-07193-01,BASE-COMM-02539,17,13,-4,SHORTAGE,COUNTING_ERROR,APPROVED,Dr. Fatima Al Zaabi,2026-03-28T16:00:00,2026-03-28T09:00:00
db43301a-0c59-4796-83fe-b2779b84a22f,63078148-c8f6-4537-b3f2-edcec7fd1bd4,BY5-9765-10107-05,BASE-COMM-04042,2,1,-1,SHORTAGE,THEFT_SUSPECTED,APPROVED,Dr. Fatima Al Zaabi,2026-03-28T16:00:00,2026-03-28T09:00:00
a68c7c55-7212-4ca0-82b6-025a725315e9,3ac8d640-6143-48b1-847a-ec720633e254,D86-0508-01027-03,ENH-FSC-CARD-03856,12,11,-1,SHORTAGE,THEFT_SUSPECTED,APPROVED,Dr. Ahmed Al Mansoori,2026-03-28T16:00:00,2026-03-28T09:00:00
549e42f4-c516-460f-9f62-d1cfe4a83da4,64b87f0b-d7de-46cc-9900-026be05d37d0,B08-7197-00986-01,BASE-ER-06985,0,10,10,SURPLUS,COUNTING_ERROR,APPROVED,Pharm. Aisha Al Kaabi,2026-03-28T16:00:00,2026-03-28T09:00:00
0339c233-dc5a-45bf-913a-6e7ea8a66223,3b42936b-7b0f-4d51-806d-8ac6eab5009c,BV3-9670-09932-01,BASE-OR-07917,0,4,4,SURPLUS,SYSTEM_ERROR,APPROVED,Dr. Ahmed Al Mansoori,2026-03-28T16:00:00,2026-03-28T09:00:00
7a2dfea6-3a45-4582-9db7-57f02c3582a3,496cd94e-4f16-4a63-a599-7da8e75020a4,B51-3206-04519-01,BASE-COMM-07955,72,62,-10,SHORTAGE,COUNTING_ERROR,APPROVED,Pharm. Khalid Al Rashidi,2026-03-28T16:00:00,2026-03-28T09:00:00
eaf2e980-f1ce-4f92-94a8-53004e3115e2,b477cd79-c0e5-4dcf-9804-2be2ef47a936,E06-0366-05221-01,SIM-B-FRNRET-E06036605221-HEALTHY-090,21,15,-6,SHORTAGE,COUNTING_ERROR,APPROVED,Dr. Ahmed Al Mansoori,2026-03-28T16:00:00,2026-03-28T09:00:00
7cb562fc-92ba-4c76-8a79-361e4cb044f1,c8deb8a8-4c5d-44b5-86c8-95a61cd4731e,CZ3-B097-12221-01,BASE-COMM-02758,3,2,-1,SHORTAGE,THEFT_SUSPECTED,REJECTED,Dr. Fatima Al Zaabi,2026-03-28T16:00:00,2026-03-28T09:00:00
470764d5-232b-421c-88d1-d06d1bc4b160,c8deb8a8-4c5d-44b5-86c8-95a61cd4731e,E08-3921-03186-01,SIM-B-FRNRET-E08392103186-NE_CRITICAL-015,64,60,-4,SHORTAGE,COUNTING_ERROR,APPROVED,Dr. Ahmed Al Mansoori,2026-03-28T16:00:00,2026-03-28T09:00:00
68324a9a-3bcc-477e-965d-29e7dbc9de3b,63078148-c8f6-4537-b3f2-edcec7fd1bd4,BW8-9698-00896-01,BASE-COMM-05413,110,116,6,SURPLUS,COUNTING_ERROR,APPROVED,Dr. Ahmed Al Mansoori,2026-03-28T16:00:00,2026-03-28T09:00:00
0c889572-7bf9-420b-9e8e-bde8af1398ff,3ac8d640-6143-48b1-847a-ec720633e254,B97-0437-00410-01,BASE-GENE-01011,14,10,-4,SHORTAGE,COUNTING_ERROR,UNDER_REVIEW,,,2026-03-28T09:00:00
05ea3923-ed05-40a5-a0e5-bc0f031c4d9f,3ac8d640-6143-48b1-847a-ec720633e254,D73-3771-02906-01,ENH-FSC-CARD-03639,29,27,-2,SHORTAGE,SYSTEM_ERROR,UNDER_REVIEW,,,2026-03-28T09:00:00
b3809905-e298-471b-891c-05f4e4e33a25,64b87f0b-d7de-46cc-9900-026be05d37d0,A77-2094-00712-01,ENH-FSC-DAY-03235,1,0,-1,SHORTAGE,THEFT_SUSPECTED,APPROVED,Pharm. Khalid Al Rashidi,2026-03-28T16:00:00,2026-03-28T09:00:00
f57ddc2c-e8f2-4213-9be7-e1917c562592,64b87f0b-d7de-46cc-9900-026be05d37d0,AY7-8134-08010-02,BASE-ER-05885,0,4,4,SURPLUS,SYSTEM_ERROR,REJECTED,Dr. Ahmed Al Mansoori,2026-03-28T16:00:00,2026-03-28T09:00:00
bc960930-5ee2-45e7-ae60-46d6d2188205,64b87f0b-d7de-46cc-9900-026be05d37d0,D33-1470-01954-01,BASE-ER-04615,19,18,-1,SHORTAGE,THEFT_SUSPECTED,REJECTED,Dr. Sara Al Nuaimi,2026-03-28T16:00:00,2026-03-28T09:00:00
7e01296d-b35c-43cd-a6f4-027d6d658be0,3b42936b-7b0f-4d51-806d-8ac6eab5009c,BE7-7176-20339-01,BASE-OR-05266,0,4,4,SURPLUS,SYSTEM_ERROR,APPROVED,Pharm. Khalid Al Rashidi,2026-03-28T16:00:00,2026-03-28T09:00:00
013e1ca5-a175-4162-ae3f-d9700d90eced,3b42936b-7b0f-4d51-806d-8ac6eab5009c,DQ6-1479-13908-02,SIM-B-FSCAMB-DQ6147913908-HEALTHY-007,107,93,-14,SHORTAGE,THEFT_SUSPECTED,APPROVED,Dr. Ahmed Al Mansoori,2026-03-28T16:00:00,2026-03-28T09:00:00
afcb6e36-cb20-457a-8385-9660fbc4eb65,496cd94e-4f16-4a63-a599-7da8e75020a4,AX7-9839-05892-01,BASE-COMM-03623,54,42,-12,SHORTAGE,THEFT_SUSPECTED,UNDER_REVIEW,,,2026-03-28T09:00:00
529d1357-066a-4dbf-90aa-fc2fe689e7de,496cd94e-4f16-4a63-a599-7da8e75020a4,E11-7480-07417-01,SIM-B-FRNRET-E11748007417-HEALTHY-039,175,157,-18,SHORTAGE,THEFT_SUSPECTED,APPROVED,Dr. Sara Al Nuaimi,2026-03-28T16:00:00,2026-03-28T09:00:00
027232bc-0ea5-4431-af08-da94a4d84514,b477cd79-c0e5-4dcf-9804-2be2ef47a936,E05-4196-04765-01,SIM-B-FRNRET-E05419604765-HEALTHY-070,154,140,-14,SHORTAGE,COUNTING_ERROR,APPROVED,Dr. Ahmed Al Mansoori,2026-03-28T16:00:00,2026-03-28T09:00:00
